SkuPartNumber,SkuName
AAD_BASIC,AZURE ACTIVE DIRECTORY BASIC
AAD_PREMIUM,AZURE ACTIVE DIRECTORY PREMIUM P1
AAD_PREMIUM_P2,AZURE ACTIVE DIRECTORY PREMIUM P2
ATP_ENTERPRISE,Office 365 Advanced Threat Protection (Plan 1)
CRMPLAN2,MICROSOFT DYNAMICS CRM ONLINE BASIC
CRMSTANDARD,MICROSOFT DYNAMICS CRM ONLINE
DESKLESSPACK,OFFICE 365 F1
DEVELOPERPACK,OFFICE 365 ENTERPRISE E3 DEVELOPER
DYN365_ENTERPRISE_CUSTOMER_SERVICE,DYNAMICS 365 FOR CUSTOMER SERVICE ENTERPRISE EDITION
DYN365_ENTERPRISE_PLAN1,DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN ENTERPRISE EDITION
DYN365_ENTERPRISE_SALES,DYNAMICS 365 FOR SALES ENTERPRISE EDITION
DYN365_ENTERPRISE_SALES_CUSTOMERSERVICE,DYNAMICS 365 FOR SALES AND CUSTOMER SERVICE ENTERPRISE EDITION
DYN365_ENTERPRISE_TEAM_MEMBERS,DYNAMICS 365 FOR TEAM MEMBERS ENTERPRISE EDITION
DYN365_FINANCIALS_BUSINESS_SKU,DYNAMICS 365 FOR FINANCIALS BUSINESS EDITION
Dynamics_365_for_Operations,DYNAMICS 365 UNF OPS PLAN ENT EDITION
EMS,ENTERPRISE MOBILITY + SECURITY E3
EMSPREMIUM,ENTERPRISE MOBILITY + SECURITY E5
ENTERPRISEPACK,OFFICE 365 ENTERPRISE E3
ENTERPRISEPACK_USGOV_DOD,Office 365 E3_USGOV_DOD
ENTERPRISEPACK_USGOV_GCCHIGH,Office 365 E3_USGOV_GCCHIGH
ENTERPRISEPREMIUM,OFFICE 365 ENTERPRISE E5
ENTERPRISEPREMIUM_NOPSTNCONF,OFFICE 365 ENTERPRISE E5 WITHOUT AUDIO CONFERENCING
ENTERPRISEWITHSCAL,OFFICE 365 ENTERPRISE E4
EQUIVIO_ANALYTICS,Office 365 Advanced Compliance
EXCHANGE_S_ESSENTIALS,EXCHANGE ONLINE ESSENTIALS
EXCHANGEARCHIVE,EXCHANGE ONLINE ARCHIVING FOR EXCHANGE SERVER
EXCHANGEARCHIVE_ADDON,EXCHANGE ONLINE ARCHIVING FOR EXCHANGE ONLINE
EXCHANGEDESKLESS,EXCHANGE ONLINE KIOSK
EXCHANGEENTERPRISE,EXCHANGE ONLINE (PLAN 2)
EXCHANGEESSENTIALS,EXCHANGE ONLINE ESSENTIALS
EXCHANGESTANDARD,EXCHANGE ONLINE (PLAN 1)
EXCHANGETELCO,EXCHANGE ONLINE POP
FLOW_FREE,Microsoft Power Automate Free
IDENTITY_THREAT_PROTECTION,Microsoft 365 E5 Security
IDENTITY_THREAT_PROTECTION_FOR_EMS_E5,Microsoft 365 E5 Security for EMS E5
INFORMATION_PROTECTION_COMPLIANCE,Microsoft 365 E5 Compliance
INTUNE_A,INTUNE
IT_ACADEMY_AD,MS IMAGINE ACADEMY
LITEPACK,OFFICE 365 SMALL BUSINESS
LITEPACK_P2,OFFICE 365 SMALL BUSINESS PREMIUM
M365EDU_A1,Microsoft 365 A1
M365EDU_A3_FACULTY,Microsoft 365 A3 for faculty
M365EDU_A3_STUDENT,Microsoft 365 A3 for students
M365EDU_A5_FACULTY,Microsoft 365 A5 for faculty
M365EDU_A5_STUDENT,Microsoft 365 A5 for students
MCOEV,SKYPE FOR BUSINESS CLOUD PBX
MCOIMP,SKYPE FOR BUSINESS ONLINE (PLAN 1)
MCOMEETADV,AUDIO CONFERENCING
